pt,en
o facto não é apenas fruto da ignorância,the fact is not just the result of ignorance
"havia no seu humor mais jornalismo (mais investigação, mais preocupação em aprofundar e contextualizar a história, mais isenção no relato, mais preocupação social, mais urgência de denunciar) do que em muitas peças realmente jornalísticas","there was more journalism in his humor (more investigation, more concern to deepen and contextualize the story, more impartiality in reporting, more social concern, more urgency to denounce) than in many truly journalistic pieces."
é tudo cómico na fifa,it's all comical in fifa
o que todos nós permitimos que esta organização faça é totalmente absurdo e sem sentido,what we all allow this organization to do is utterly absurd and meaningless
não nos fazem rir à custa dos poderosos,do not make us laugh at the expense of the powerful
alguém os convenceu de que devem ter como critério o interesse do público e não o interesse público,someone convinced them that they should have the public interest as a criterion and not the public interest
já foram publicados trabalhos jornalísticos sobre o lado negro da fifa,journalistic works on the dark side of fifa have already been published
são infinitamente minoritários,are infinitely minority
toda a comunidade jornalística continua a tratar a fifa como uma organização idónea e os seus campeonatos como os mais benignos eventos do mundo,the entire journalistic community continues to treat fifa as a reputable organization and its championships as the most benign events in the world
"“o portugal que morre” morre anónimo e esquecido, calado e cansado","“the portugal that dies” dies anonymous and forgotten, silent and tired"
há no discurso político uma tal preocupação com a peleja partidária para a mera conquista de terreno e uma tal indiferença pelas coisas verdadeiramente importantes,there is in political discourse such a preoccupation with the partisan struggle for the mere conquest of ground and such indifference to the truly important things
o estatuto de “estado dentro do estádio” que a fifa possui como organização internacional e “sem fins lucrativos” que finge ser,the status of “state within the stadium” that fifa has as an international and “non-profit” organization that pretends to be
ditando as suas leis,dictating your laws
criando os seus tribunais especiais,creating their special courts
fugindo a todos os impostos,evading all taxes
absorvendo fundos que os países podiam e deviam dedicar ao desenvolvimento e ao combate à pobreza,absorbing funds that countries could and should devote to development and poverty alleviation
acumulando uma fortuna colossal que foge a todos os escrutínios,amassing a colossal fortune that eludes all scrutiny
o que é espantoso é que a peça era singularmente objectiva,what is amazing is that the piece was singularly objective
o humor nascia do absurdo da prática da fifa,humor was born from the absurdity of fifa practice
do gigantesco sem-sentido da sua actuação,of the gigantic nonsense of its action
do despropósito das declarações dos seus dirigentes,of the absurdity of the statements of its leaders
da insensatez da sua existência,of the foolishness of your existence
da arrogância da sua relação com os estados,the arrogance of its relationship with the states
todos os dias a fifa nos espeta com uma tarte de creme na cara,every day fifa skewers us with a cream pie in the face
isso é sempre cómico,that's always funny
"depois disso, toda a comunidade jornalística continua a tratar a fifa como uma organização idónea e os seus campeonatos como os mais benignos eventos do mundo","after that, the entire journalistic community continues to treat fifa as a reputable organization and its championships as the most benign events in the world"
todos os poderosos do mundo continuam a apertar a mão a sepp blatter e a jérôme valcke,all the powerful in the world continue to shake hands with sepp blatter and jérôme valcke
"a colagem que oliver fez e que os media em geral não fazem, apesar da disponibilidade da informação que a web permite","the collage that oliver made and that the media in general do not, despite the availability of information that the web allows"
torna a informação sobre a fifa imensamente divertida,makes fifa information immensely fun
"como sabemos, isso é sempre cómico","as we know, this is always comical"
oliver é humorista e não jornalista,oliver is a comedian and not a journalist
