pt,en
sim,yes
não,no
nunca,never
nem,nor
jamais,never
facto,fact that
apenas,only
fruto,fruit
ignorância,ignorance
havia,there was
humor,humor
mais,more
jornalismo,journalism
investigação,investigation
preocupação,concern
aprofundar,deepen
contextualizar,contextualize
história,story
isenção,exemption
relato,report
social,Social
urgência,urgency
denunciar,denounce
peças,parts
realmente,really
jornalísticas,journalistic
cómico,comic
permitimos,we allow
organização,organization
faça,Knife
totalmente,totally
absurdo,absurd
sentido,sense
fazem,do
rir,to laugh
custa,cost
poderosos,powerful
convenceu,convinced
devem,should
ter,to have
critério,criterion
interesse,interest
público,public
já,already
publicados,published
trabalhos,works
jornalísticos,journalistic
lado,side
negro,black
infinitamente,infinitely
minoritários,minority
comunidade,community
jornalística,journalistic
continua,to be continued
tratar,treat
fifa,fifa
idónea,suitable
campeonatos,championships
benignos,benign
eventos,events
mundo,world
morre,dies
anónimo,anonymous
esquecido,forgotten
calado,shut up
cansado,tired out
há,there is
discurso,speech
político,political
peleja,fight
partidária,partisan
mera,mere
conquista,conquest
terreno,ground
indiferença,indifference
coisas,stuff
verdadeiramente,truly
importantes,important
estatuto,statute
estado,state
dentro,inside
estádio,Stadium
possui,it has
internacional,International
fins,ends
lucrativos,profitable
finge,pretend
ditando,dictating
leis,laws
criando,creating
tribunais,courts
especiais,specials
fugindo,running away
impostos,taxes
absorvendo,absorbing
fundos,funds
países,countries
podiam,could
deviam,should
dedicar,to dedicate
desenvolvimento,development
combate,combat
pobreza,poverty
acumulando,accumulating
fortuna,fortune
colossal,colossal
foge,run away
escrutínios,ballots
espantoso,amazing
é,It's
peça,ask for
singularmente,singularly
objectiva,objective
nascia,was born
prática,practice
gigantesco,gigantic
sem-sentido,meaningless
actuação,acting
despropósito,nonsense
declarações,statements
dirigentes,leaders
insensatez,foolishness
existência,existence
arrogância,arrogance
relação,relationship
estados,States
dias,days
espeta,skewer
tarte,Tart
creme,cream
cara,guy
sempre,ever
depois,after
continuam,continue
apertar,to tighten
mão,hand
sepp,sepp
blatter,blatter
jérôme,jérôme
valcke,valcke
colagem,collage
fez,did
media,average
geral,general
apesar,although
disponibilidade,availability
informação,information
permite,allows
torna,become
imensamente,immensely
divertida,fun
como,how
sabemos,we know
humorista,humorist
jornalista,journalist
interessante,interesting
verificar,to check
cada,each
frequente,frequent
verdades,truths
surjam,arise
programas,Software
propaganda,advertising
sei,know
problema,problem
despique,undress
teóricos,theoretical
práticos,practical
moeda,coin
corrente,chain
épocas,seasons
sendo,being
caso,case
desportiva,sporty
encontra,finds
raízes,roots
milenares,millennial
antiga,old
galeno,galen
célebre,famous
médico,doctor
grego,Greek
tido,had
pai,dad
medicina,medicine
moderna,Modern
treinadores,coaches
troçavam,mocked
teorias,theories
professores,teachers
ginástica,fitness
médicos,doctors
pretexto,pretext
direito,right
discutir,to discuss
desconhecidas,unknown
quando,When
tem,have
ofício,craft
classificação,classification
teórico,theoretical
atribuída,assigned
tendo,having
além,in addition
provas,evidences
práticas,practices
dadas,given
mero,mere
exemplo,example
mundiais,worldwide
futebol,football
sub-20,under-20
modestíssimo,most modest
jogador,player
competitivo,competitive
razão,reason
formação,formation
docência,teaching
universitárias,university students
licenciatura,graduation
mestrado,master's degree
metodologia,methodology
treino,training
isef,isef
universidade,university
técnica,technique
posterior,posterior
teve,he had
aluno,student
regresso,return
equipa,team
fronteiras,borders
nacionais,nationals
assistiu-se,it was watched
despudorada,shameless
tentativa,attempt
intoxicação,intoxication
opinião,opinion
pública,public
queirós,queirós
resultados,results
obtidos,obtained
sul,south
manipulados,manipulated
detractores,detractors
péssimos,bad
pretenderam,intended
deixar,to leave
imagem,Image
verdadeiro,real
soçobrar,capsize
selecção,selection
quinas,corners
moderno,modern
exige,require
hoje,today
condições,conditions
científicas,scientific
inerentes,inherent
respectiva,respective
conhecimento,knowledge
profundo,deep
funcionamento,operation
máquina,machine
humana,human
questões,questions
vezes,times
mantidas,kept
sombra,shadow
esquecimento,forgetfulness
conservando,conserving
componente,component
sorte,luck
inerente,inherent
forma,form
jogo,match
aliciante,enticing
multidões,crowds
suportar,to support
currículo,resume
treinador,trainer
destacado,highlighted
nacional,national
conjugado,conjugate
habilitação,license
cursos,courses
promovidos,promoted
associação,Association
federação,federation
portuguesa,portuguese
desportos,sports
menos,any less
futebolísticos,footballers
parece,looks
sucedâneo,substitute
quer,would you like
lei,law
guerra,war
religiões,religions
competição,competition
regra,rule
principal,main
serve,it suits
haja,there is
campeões,champions
equipas,teams
querem,want
paixão,passion
clubística,clubbing
transmite,transmits
parentesco,kinship
vinca,creases
heróis,heroes
liturgias,liturgies
anuais,annual
taças,goblets
clubes,clubs
selecções,selections
propícias,propitious
patriotismo,patriotism
faltando,missing
dimensões,dimensions
cívicas,civic
políticas,policies
barafustar,mess up
excesso,excess
violência,violence
vale,Valley
organizada,organized
regras,rules
bem,good
falta,lack
controle,control
competições,competitions
financeiras,financial
têm,have
consequências,consequences
terríveis,terrible
faz,he does
parte,part
ganhar,win
desejável,desirable
grandes,big ones
guerras,wars
século,century
xx,xx
difícil,difficult
volte,come back
haver,be
nível,level
económico,economic
concorrência,competition
competitividade,competitiveness
trava,lock
espécie,species
deslocamento,displacement
selva,jungle
opõe,oppose
animais,animals
carnívoros,carnivores
herbívoros,herbivores
plantas,plants
condição,condition
sobrevivência,survival
só,only
alimentando,feeding
vivos,alive
conseguem,can
moléculas,molecules
complexas,complex
base,base
carbono,carbon
feitas,made
células,cells
recebem,receive
fotossíntese,photosynthesis
ainda,still
aqui,on here
ali,there
primeira,first
vantagem,advantage
organizadas,organized
vigiadas,guarded
árbitros,referees
segunda,Monday
capaz,able
envolver,to involve
vidas,lives
interessantes,interesting
dar,to give
maneira,manner
poderia,could
facilmente,easily
descambar,fall off
bebida,drink
droga,damn it
justifica,justifies
anatomias,anatomies
ganhem,win
músculos,muscles
astúcias,tricks
crescem,grow
espécies,species
nobres,nobles
guerreiros,warriors
substituídos,replaced
burgueses,bourgeois
capitalistas,capitalists
dominação,domination
tiver,have
mundial,worldwide
incrível,incredible
vimos,saw
actuações,performances
individuais,individual
maravilhosas,wonderful
jogos,games
surpresas,surprises
existem,exist
boas,good
legítimas,legitimate
razões,reasons
justificam,justify
vitória,victory
qatar,qatar
conhecidos,acquaintances
rivais,rivals
sediar,host
daqui,hence
anos,years old
possa,be likely to
ouvido,ear
longo,long
últimas,latest
semanas,weeks
campanha,campaign
vitoriosa,victorious
apresentámos,we presented
argumentos,arguments
convincentes,convincing
transformámos,we transformed
desafio,challenge
favor,favor
vista,View
melhor,best
pode,he can
recente,recent
tanto,so much
país,parents
médio,medium
oriente,east
desporto,sport
igualmente,equally
forte,strong
também,also
dificuldades,difficulties
ouvidos,ears
tradição,tradition
rica,rich
pequeno,small
temperaturas,temperatures
verão,summer
elevadas,high
somente,only
riqueza,wealth
motivo,reason
suspeita,suspect
injusto,unfair
ignorámos,we ignored
ganhámos,we won
membros,members
entenderam,understood
interessaram-se,were interested
levar,take along
campeonato,championship
região,region
nova,new
final,Final
implicaria,would imply
longas,long
viagens,travels
custos,costs
significativos,significant
fãs,fans
estão,they are
horas,hours
voo,flight
aeroporto,airport
doha,doha
críticos,critics
intenso,intense
calor,heat
deveríamos,we should
ganho,gain
candidatura,candidacy
provámos,we proved
partidas,matches
poderiam,could
jogadas,plays
vistas,views
confortáveis,comfortable
ideia,idea
estádios,stadiums
ar,air
condicionado,conditioned
parecer,seem
fantasiosa,fanciful
contamos,we count
sistemas,systems
refrigeração,refrigeration
livre,free
investimos,we invest
dinheiro,cash
compararmos,let's compare
candidaturas,candidacies
objectivo,aim
alcançar,to reach
tivemos,we had
conhecer,to meet
informar,inform
pessoas,people
podemos,we can
oferecer,to offer
dia,day
lançámos,we launched
proposta,proposal
nome,Name
revelado,revealed
envelope,envelope
zurique,zurich
respeitámos,we respected
estritamente,strictly
regulamento,regulation
temos,we have
nada,anything
temer,to fear
esconder,hide
queremos,we want
cooperar,cooperate
plenamente,fully
processo,process
indicámos,we indicated
